,displacement_right
620,1.599955807210232e-05
621,1.599955807210232e-05
622,1.599955807210232e-05
623,1.599955807210232e-05
624,1.599955807210232e-05
625,1.599955807210232e-05
626,1.599955807210232e-05
627,1.599955807210232e-05
628,1.599955807210232e-05
629,1.599955807210232e-05
630,1.599955807210232e-05
631,1.599955807210232e-05
632,1.599955807210232e-05
633,1.599955807210232e-05
634,1.599955807210232e-05
635,1.599955807210232e-05
636,1.599955807210232e-05
637,1.599955807210232e-05
638,1.599955807210232e-05
639,1.599955807210232e-05
640,1.599955807210232e-05
641,1.589932963287611e-05
642,1.1380061002843654e-05
643,1.1384269974091273e-05
644,1.6099788995076683e-05
645,2.2752587522454446e-05
646,1.8578450453900862e-05
647,2.274593737640897e-05
648,1.872361740021093e-05
649,1.860947684739758e-05
650,1.4508939025210537e-05
651,1.8592559778474016e-05
652,1.4591564314910515e-05
653,1.8829060127964167e-05
654,2.1261405527340283e-05
655,1.6313864853100032e-05
656,1.6313864853100032e-05
657,1.6313864853100032e-05
658,1.6313864853100032e-05
659,1.6313864853100032e-05
660,1.6313864853100032e-05
661,1.6313864853100032e-05
662,1.4688013921341684e-05
663,1.5993568384618493e-05
664,1.4400089046557794e-05
665,1.8470867376023156e-05
666,1.4316358721054073e-05
667,1.1318075339636513e-05
668,1.1247232616507364e-05
669,1.5089746013557973e-05
670,1.599955807210232e-05
671,1.599955807210232e-05
672,1.599955807210232e-05
673,1.599955807210232e-05
674,1.517851351919275e-05
675,2.0983795668484426e-05
676,2.0983795668484426e-05
677,2.0983795668484426e-05
678,2.0983795668484426e-05
679,1.599955807210232e-05
680,1.599955807210232e-05
681,1.600617564527443e-05
682,1.599955807210232e-05
683,2.086087149316578e-05
684,1.600617564527443e-05
685,1.599955807210232e-05
686,1.609383661085466e-05
687,1.599955807210232e-05
688,1.599955807210232e-05
689,2.0238018025590333e-05
690,1.5993568384618493e-05
691,1.6099788995076683e-05
692,1.5172831202716299e-05
693,1.5172831202716299e-05
694,1.589330217247964e-05
695,1.1242523799726919e-05
696,1.1242523799726919e-05
697,1.589330217247964e-05
698,1.5172831202716299e-05
699,1.1242523799726919e-05
700,1.589330217247964e-05
701,1.589330217247964e-05
702,2.0223660293826424e-05
703,1.5172831202716299e-05
704,1.5273600921766714e-05
705,1.589330217247964e-05
706,1.5993568384618493e-05
707,1.5993568384618493e-05
708,1.1384269974091273e-05
709,1.0182400614511142e-05
710,1.517851351919275e-05
711,1.517851351919275e-05
712,1.0055618981939448e-05
713,1.0055618981939448e-05
714,2.071529662285746e-05
715,1.8235473631784523e-05
716,1.8235473631784523e-05
717,1.4310439783670508e-05
718,1.8242302926257608e-05
719,1.8235473631784523e-05
720,1.8242302926257608e-05
721,1.8242302926257608e-05
722,1.8235473631784523e-05
723,1.8235473631784523e-05
724,2.527957536728303e-05
725,2.1457623666479068e-05
726,2.1315864369764676e-05
727,2.1315864369764676e-05
728,2.1457623666479068e-05
729,2.1457623666479068e-05
730,2.5288052004527162e-05
731,2.5288052004527162e-05
732,2.1450431001266686e-05
